SI. No,Year,Area (million hec.),Production (Million Tonnes),Yield (Kg/hec)
1,1970-71,0.03,0.01,426
2,1971-72,0.03,0.01,426
3,1972-73,0.03,0.03,819
4,1973-74,0.05,0.04,829
5,1974-75,0.07,0.05,768
6,1975-76,0.09,0.09,975
7,1976-77,0.13,0.12,988
8,1977-78,0.2,0.18,940
9,1979-80,0.5,0.28,568
10,1980-81,0.61,0.44,728
11,1981-82,0.48,0.35,741
12,1982-83,0.77,0.49,637
13,1983-84,0.84,0.61,735
14,1984-85,1.24,0.95,768
15,1985-86,1.34,1.02,764
16,1986-87,1.53,0.89,584
17,1987-88,1.54,0.9,582
18,1988-89,1.73,1.55,892
19,1989-90,2.25,1.81,801
20,1990-91,2.56,2.6,1015
21,1991-92,3.18,2.49,782
22,1992-93,3.79,3.39,894
23,1993-94,4.37,4.75,1086
24,1994-95,4.32,3.93,911
25,1995-96,5.04,5.1,1012
26,1996-97,5.44,5.38,989
27,1997-98,5.99,6.46,1079
28,1998-99,6.49,7.14,1100
29,1999-00,6.22,7.08,1138
30,2000-01,6.42,5.28,823
31,2001-02,6.34,5.96,940
32,2002-03,6.11,4.65,762
33,2003-04,6.55,7.82,1193
34,2004-05,7.57,6.87,908
35,2005-06,7.71,8.27,1073
36,2006-07,8.33,8.85,1063
37,2007-08,8.88,10.97,1235
38,2008-09,9.51,9.91,1041
39,2009-10,9.73,9.96,1024
40,2010-11,9.6,12.74,1327
41,2011-12,10.11,12.21,1208
42,2012-13,10.84,14.67,1353
43,2013-14,12.2,9.5,779
44,2014-15,10.9,8.7,798
45,2015-16,11.65,8,687
46,2016/2017,11.18,10.99,982.92
47,2017/2018,10.33,8.35,808.40
48,2018/2019,11.13,10.93,981.94
49,2019/2020,12.19,9.30,762.73
50,2020/2021,12.92,10.45,808.95
51,2021/2022,12.50,11.90,952.00
52,2022/2023,12.70,12.00,944.88